Event	ID	Name			Wwise Object Path	Notes
	513571230	Play_Combat			\Music\Play_Combat	
	3711372643	Play_Roaming			\Music\Play_Roaming	

State Group	ID	Name			Wwise Object Path	Notes
	2764240573	Combat			\Default Work Unit\Combat	
	3557636762	Roaming			\Default Work Unit\Roaming	

State	ID	Name	State Group			Notes
	748895195	None	Combat			
	3177314144	Part2	Combat			
	3177314145	Part3	Combat			
	3177314147	Part1	Combat			
	3177314148	Part6	Combat			
	3177314150	Part4	Combat			
	3177314151	Part5	Combat			
	748895195	None	Roaming			
	2874554373	RoamState2	Roaming			
	2874554374	RoamState1	Roaming			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	453397767	Office_Bossa_Part1_MelodySteeldrum	G:\GitHub\officedemons\officedemons_WwiseProject\.cache\Windows\SFX\Office_Bossa_Part1_MelodySteeldrum_D79FB2B7.wem		\Interactive Music Hierarchy\Music\Roaming\Part1\Part1\Office_Bossa_Part1_MelodySteeldrum		11780708
	554828006	Office_Metal_Part1_Bass	G:\GitHub\officedemons\officedemons_WwiseProject\.cache\Windows\SFX\Office_Metal_Part1_Bass_D79FB2B7.wem		\Interactive Music Hierarchy\Music\Combat\Part1\Part1\Office_Metal_Part1_Bass		5644944
	562245646	Office_Bossa_Part2_Bass	G:\GitHub\officedemons\officedemons_WwiseProject\.cache\Windows\SFX\Office_Bossa_Part2_Bass_D79FB2B7.wem		\Interactive Music Hierarchy\Music\Roaming\Part2\Part2\Office_Bossa_Part2_Bass		11780708
	565644886	Office_Metal_Part4_Bass	G:\GitHub\officedemons\officedemons_WwiseProject\.cache\Windows\SFX\Office_Metal_Part4_Bass_D79FB2B7.wem		\Interactive Music Hierarchy\Music\Combat\Part4\Part4\Office_Metal_Part4_Bass		2822360
	598561096	Office_Metal_Part6_GtrRiff	G:\GitHub\officedemons\officedemons_WwiseProject\.cache\Windows\SFX\Office_Metal_Part6_GtrRiff_D79FB2B7.wem		\Interactive Music Hierarchy\Music\Combat\Part6\Part6\Office_Metal_Part6_GtrRiff		2823220
	609139132	Office_Metal_Part5_Chords	G:\GitHub\officedemons\officedemons_WwiseProject\.cache\Windows\SFX\Office_Metal_Part5_Chords_D79FB2B7.wem		\Interactive Music Hierarchy\Music\Combat\Part5\Part5\Office_Metal_Part5_Chords		2822100
	611050839	Office_Metal_Part4_Synth	G:\GitHub\officedemons\officedemons_WwiseProject\.cache\Windows\SFX\Office_Metal_Part4_Synth_D79FB2B7.wem		\Interactive Music Hierarchy\Music\Combat\Part4\Part4\Office_Metal_Part4_Synth		2822360
	644417154	Office_Metal_Part6_Bass	G:\GitHub\officedemons\officedemons_WwiseProject\.cache\Windows\SFX\Office_Metal_Part6_Bass_D79FB2B7.wem		\Interactive Music Hierarchy\Music\Combat\Part6\Part6\Office_Metal_Part6_Bass		2823220
	729357086	Office_Metal_Part11_Drums	G:\GitHub\officedemons\officedemons_WwiseProject\.cache\Windows\SFX\Office_Metal_Part11_Drums_D79FB2B7.wem		\Interactive Music Hierarchy\Music\Combat\Part1\Part1\Office_Metal_Part11_Drums		5644944
	731730090	Office_Metal_Part4_GtrRiff	G:\GitHub\officedemons\officedemons_WwiseProject\.cache\Windows\SFX\Office_Metal_Part4_GtrRiff_D79FB2B7.wem		\Interactive Music Hierarchy\Music\Combat\Part4\Part4\Office_Metal_Part4_GtrRiff		2822360
	747116675	Office_Bossa_Part2_Comp	G:\GitHub\officedemons\officedemons_WwiseProject\.cache\Windows\SFX\Office_Bossa_Part2_Comp_D79FB2B7.wem		\Interactive Music Hierarchy\Music\Roaming\Part2\Part2\Office_Bossa_Part2_Comp		11780708
	765634235	Office_Metal_Part5_Bass	G:\GitHub\officedemons\officedemons_WwiseProject\.cache\Windows\SFX\Office_Metal_Part5_Bass_D79FB2B7.wem		\Interactive Music Hierarchy\Music\Combat\Part5\Part5\Office_Metal_Part5_Bass		2822100
	806835498	Office_Metal_Part6_Drums	G:\GitHub\officedemons\officedemons_WwiseProject\.cache\Windows\SFX\Office_Metal_Part6_Drums_D79FB2B7.wem		\Interactive Music Hierarchy\Music\Combat\Part6\Part6\Office_Metal_Part6_Drums		2823220
	822661198	Office_Metal_Part2_Choir	G:\GitHub\officedemons\officedemons_WwiseProject\.cache\Windows\SFX\Office_Metal_Part2_Choir_D79FB2B7.wem		\Interactive Music Hierarchy\Music\Combat\Part2\Part2\Office_Metal_Part2_Choir		11289744
	864116545	Office_Metal_Part3_Synth	G:\GitHub\officedemons\officedemons_WwiseProject\.cache\Windows\SFX\Office_Metal_Part3_Synth_D79FB2B7.wem		\Interactive Music Hierarchy\Music\Combat\Part3\Part3\Office_Metal_Part3_Synth		2822632
	944505295	Office_Bossa_Part2_Solo	G:\GitHub\officedemons\officedemons_WwiseProject\.cache\Windows\SFX\Office_Bossa_Part2_Solo_D79FB2B7.wem		\Interactive Music Hierarchy\Music\Roaming\Part2\Part2\Office_Bossa_Part2_Solo		11774696
	965101826	Office_Metal_Part4_Drums	G:\GitHub\officedemons\officedemons_WwiseProject\.cache\Windows\SFX\Office_Metal_Part4_Drums_D79FB2B7.wem		\Interactive Music Hierarchy\Music\Combat\Part4\Part4\Office_Metal_Part4_Drums		2822360
	983760941	Office_Metal_Part3_Drums	G:\GitHub\officedemons\officedemons_WwiseProject\.cache\Windows\SFX\Office_Metal_Part3_Drums_D79FB2B7.wem		\Interactive Music Hierarchy\Music\Combat\Part3\Part3\Office_Metal_Part3_Drums		2822632
	993488041	Office_Metal_Part3_Bass	G:\GitHub\officedemons\officedemons_WwiseProject\.cache\Windows\SFX\Office_Metal_Part3_Bass_D79FB2B7.wem		\Interactive Music Hierarchy\Music\Combat\Part3\Part3\Office_Metal_Part3_Bass		2822632
	995996570	Office_Metal_Part2_GtrMelody	G:\GitHub\officedemons\officedemons_WwiseProject\.cache\Windows\SFX\Office_Metal_Part2_GtrMelody_D79FB2B7.wem		\Interactive Music Hierarchy\Music\Combat\Part2\Part2\Office_Metal_Part2_GtrMelody		11289744
	1042251464	Office_Metal_Part5_WeirdSounds	G:\GitHub\officedemons\officedemons_WwiseProject\.cache\Windows\SFX\Office_Metal_Part5_WeirdSounds_D79FB2B7.wem		\Interactive Music Hierarchy\Music\Combat\Part5\Part5\Office_Metal_Part5_WeirdSounds		2822100
	1070785679	Office_Metal_Part1_WeirdSounds	G:\GitHub\officedemons\officedemons_WwiseProject\.cache\Windows\SFX\Office_Metal_Part1_WeirdSounds_D79FB2B7.wem		\Interactive Music Hierarchy\Music\Combat\Part1\Part1\Office_Metal_Part1_WeirdSounds		5644944

